referenceDate,valeurDate,availDate,transactionCode,documentNr,notes,amountDebit,amountCredit,balance
4/8/2022,4/6/2022,4/8/2022,69,080-001140000059506,FLUGHAFEN BERLIN BRAND SCHOENEFELD DE,6.90,0.00,"13,605.51"
4/11/2022,4/7/2022,4/11/2022,69,001-001140001391075,SUPER MARKET EGNATIA CHARILAOU THE GR,3.18,0.00,"13,602.33"
4/11/2022,4/7/2022,4/11/2022,69,060-001140000067171,PAPAGEORGIOU DIMOS THESSALONIKI GR,0.80,0.00,"13,601.53"
4/12/2022,4/12/2022,4/12/2022,200,001-000210000049445,ΕΙΣΕΡΧΟΜΕΝΟ ΕΜΒΑΣΜΑ CREDIT TRANSFER,0.00,649.69,"14,251.22"
4/12/2022,4/9/2022,4/12/2022,69,001-001140001395377,AFOI KIRGIAKI OE PREVEZA GR,20.00,0.00,"14,231.22"
4/12/2022,4/9/2022,4/12/2022,69,001-001140001395698,PASCHOU  XANTHI EUAGGELO IGOUMENITSA GR,3.80,0.00,"14,227.42"
4/12/2022,4/9/2022,4/12/2022,69,060-001140000068096,TZIOVARAS FOKAS IGOUMENITSA GR,2.00,0.00,"14,225.42"
4/13/2022,4/11/2022,4/13/2022,69,001-001140001397117,SIAPLAOURAS PANAGI ARTA GR,3.60,0.00,"14,221.82"
4/13/2022,4/11/2022,4/13/2022,69,001-001140001397441,MY MARKET 594 ARTA METAMORFOSI GR,24.79,0.00,"14,197.03"
4/13/2022,4/11/2022,4/13/2022,69,001-001140001397732,TSIOUNIS ILIAS ARTA GR,19.00,0.00,"14,178.03"
4/13/2022,4/9/2022,4/13/2022,69,010-001140000187024,HPEIROTIKI FUELS PG E PREVEZA GR,20.00,0.00,"14,158.03"
4/13/2022,4/9/2022,4/13/2022,69,010-001140000187163,MICHAIL KOUPIS KYPROY KAI GR,1.50,0.00,"14,156.53"
4/19/2022,4/12/2022,4/19/2022,69,060-001140000069219,IOANNIS ZIRAS KOMMENOY 7 GR,3.30,0.00,"14,153.23"
4/20/2022,4/13/2022,4/20/2022,69,001-001140001407358,FARMAKEIA PAPANIKOLAOU X& ARTA GR,15.00,0.00,"14,138.23"
4/21/2022,4/21/2022,4/21/2022,200,001-000210000051934,ΕΙΣΕΡΧΟΜΕΝΟ ΕΜΒΑΣΜΑ CREDIT TRANSFER,0.00,649.69,"14,787.92"
4/21/2022,4/16/2022,4/21/2022,69,070-001140000057826,FOTIS HOME A ZARRA KA GR,5.79,0.00,"14,782.13"
4/27/2022,4/20/2022,4/27/2022,69,001-001140001422489,METRO 108 ARTA THESI TOP GR,46.12,0.00,"14,736.01"
4/27/2022,4/20/2022,4/27/2022,69,010-001140000196180,METRO 108 ARTA THESI TOP GR,1.16,0.00,"14,734.85"
4/27/2022,4/19/2022,4/27/2022,69,080-001140000065269,4089 MAKRAION ARTA A ARTA GR,20.00,0.00,"14,714.85"
5/4/2022,4/30/2022,5/4/2022,69,080-001140000068071,LIDL ARTA GR,14.87,0.00,"14,699.98"
5/11/2022,5/7/2022,5/11/2022,69,001-001140001449245,MITO DEL PUENTE PER.ODOS K GR,2.20,0.00,"14,697.78"
5/12/2022,5/12/2022,5/12/2022,200,001-000660000030077,ΕΙΣΕΡΧΟΜΕΝΟ ΕΜΒΑΣΜΑ CREDIT TRANSFER,0.00,649.69,"15,347.47"
5/16/2022,5/12/2022,5/16/2022,69,080-001140000071621,MY MARKET 594 ARTA METAMORFOSI GR,5.37,0.00,"15,342.10"
5/17/2022,5/14/2022,5/17/2022,69,001-001140001459128,AB_ARTA_538 ARTA GR,13.06,0.00,"15,329.04"
5/17/2022,5/12/2022,5/17/2022,69,001-001140001459987,KARALIS AE ARTA GR,5.37,0.00,"15,323.67"
5/17/2022,5/14/2022,5/17/2022,69,070-001140000066736,MY MARKET 594 ARTA METAMORFOSI GR,3.74,0.00,"15,319.93"
5/17/2022,5/14/2022,5/17/2022,69,070-001140000066802,IPIROS DISCOUNT ARTA GR,5.82,0.00,"15,314.11"
5/17/2022,5/12/2022,5/17/2022,69,070-001140000066843,BP ARTA GR,6.00,0.00,"15,308.11"
5/17/2022,5/11/2022,5/17/2022,69,080-001140000072250,EVANGELIA BANIA K SI ARTA GR,2.50,0.00,"15,305.61"
5/18/2022,5/14/2022,5/18/2022,69,001-001140001461979,SKORILAS VISSARION ARTA GR,10.00,0.00,"15,295.61"
5/18/2022,5/14/2022,5/18/2022,69,001-001140001462831,SKLAVENITIS ARTA ARTA GR,6.95,0.00,"15,288.66"
5/18/2022,5/14/2022,5/18/2022,69,070-001140000067102,MITO DEL PUENTE PER.ODOS K GR,2.20,0.00,"15,286.46"
5/18/2022,5/14/2022,5/18/2022,69,080-001140000072806,LIDL ARTA 150 ARTA GR,16.25,0.00,"15,270.21"
5/20/2022,5/17/2022,5/20/2022,69,001-001140001466309,BP ARTA GR,15.00,0.00,"15,255.21"
5/24/2022,5/20/2022,5/24/2022,69,001-001140001472958,MY MARKET 594 ARTA METAMORFOSI GR,5.98,0.00,"15,249.23"
5/24/2022,5/20/2022,5/24/2022,69,070-001140000068919,FARMAKIO ANAST PETSA ARTA GR,1.70,0.00,"15,247.53"
5/24/2022,5/20/2022,5/24/2022,69,070-001140000068954,VICHAS  PETROS KONSTANT ARTA GR,11.00,0.00,"15,236.53"
5/24/2022,5/20/2022,5/24/2022,69,080-001140000074650,IPIROS DISCOUNT ARTA GR,2.66,0.00,"15,233.87"
5/25/2022,5/21/2022,5/25/2022,69,001-001140001477505,SOUTA OLGA ARTA GR,1.50,0.00,"15,232.37"
5/25/2022,5/20/2022,5/25/2022,69,010-001140000216077,ANOSTRO PLATEIA G GR,14.00,0.00,"15,218.37"
5/25/2022,5/23/2022,5/25/2022,69,010-001140000216128,GKARTZONIS KONSTAN ARTA GR,5.00,0.00,"15,213.37"
